Quantity,Profit,Shipping_Cost,Discount,Order_Priority,mmonthN,Sales,Markets,Category_Office_Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables,Segment_Corporate,Segment_Home_Office
1,1.6601310702632746,0.5538851187073245,0.0,3,8,2.4344901505008125,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2.7459880355456865,1.678963999992114,0.0,3,1,4.525910475271109,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,5.008499633033319,4.378269547505607,0.0,0,5,6.775000719031572,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.62756296121466,3.1380994916814324,0.0,0,2,3.998567615224584,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,4.379272831176394,4.71492103627446,0.0,0,2,5.978784472315703,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.45107561480444763,1.1442228333291342,0.0,0,2,2.2375130840367854,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,3.642835535584766,3.3425084176757003,0.0,0,2,5.829827545635477,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,5.314781128601811,5.49030044116866,0.0,0,2,6.420418307183245,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,3.011605607691788,1.6054298948665788,0.0,3,7,4.033178102652738,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3.3617633177075907,2.33408373048212,0.0,3,12,4.762515764534214,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.424262679444599,2.6122732541046934,0.0,3,12,5.293756965397464,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.002959969768918,3.8815637979434374,0.0,1,4,5.7027152142556465,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.859531868882852,4.635408366087842,0.0,3,12,7.371740851253204,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,2.0592388538250574,1.6054298948665788,0.0,3,6,4.1588830833596715,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.8656293236996147,0.63127177430549,0.0,3,6,2.6616571402213416,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,5.1112646648139926,2.7954503843921503,0.0,3,6,6.0751621370035815,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.6253112465718973,0.5538851187073245,0.0,0,11,2.2533948968876922,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3.661508210271177,3.3250359932527256,0.0,0,11,5.250649085649547,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4.037421420206668,2.783157678307256,0.0,3,7,5.2987172957209765,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.735047120388603,1.2864739942241659,0.0,3,7,5.103639757883384,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,6.229536097359344,5.298517312988079,0.0,3,11,7.278242353737622,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0647918237260727,1.722766580711205,0.0,3,11,4.172385250759491,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6259384334164266,0.7275486326164501,0.0,3,8,2.9204697479246318,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,3.996364181911141,2.209372673585505,0.0,3,8,4.78582371115512,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,2.0668627715448027,0.5709795358097567,0.0,3,8,2.884241863403715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,1.5769147029949269,1.684545360150144,0.0,3,5,5.972995012172444,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.1114246152425515,0.5877866715248573,0.0,3,5,2.8639137381028803,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,4.808111029984782,2.3214068060553688,0.0,3,3,5.770724321160108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2.3887627542378747,2.231089136360586,0.0,3,3,4.278054023127535,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3.6752874773930664,2.312535461616493,0.0,3,3,4.708809204239691,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6881346435287342,0.7839015699564725,0.0,3,3,2.510411974283827,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.631199430343676,1.0260415821605242,0.0,3,3,2.8622008809294686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,5.639066203347004,4.5192854102510625,0.0,3,5,6.715722758192295,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,3.5157158169611216,2.69462719365756,0.0,3,5,4.7044724091681305,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.4423470353692043,1.6253112465718973,0.0,3,5,3.934371429982094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.917230033020351,1.768149626372949,0.0,3,5,3.6645867849958993,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.9544450434002698,0.858661625099008,0.0,3,5,2.938103116266432,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.6844403094241867,1.9300710656475693,0.0,3,5,4.019800572942015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,4.553455740660223,4.097506202743746,0.0,3,5,6.380664775157312,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1.7263316435424467,1.964311250476824,0.0,3,5,3.858200221274228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,3.7556030469036443,3.1759683557124334,0.0,3,5,5.777156833112753,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,4.889672234986543,3.542407528131495,0.0,3,5,5.752890068133319,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,2.5649493574615367,1.652497361701376,0.0,3,12,4.068684807613827,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2.855320071549938,2.5257286443082556,0.0,3,12,5.460861308702963,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2.421256643038528,1.0681530697130914,0.0,3,11,3.4134553066912887,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.3721111805520594,1.2441546022037906,0.0,3,11,3.8607297110405954,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1.5706970722215243,0.6471032557894513,0.0,3,11,3.4173987534933796,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.672944462294634,1.3376291741201163,0.0,1,1,3.5368931148794878,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,4.549657459928034,3.527830010189076,0.0,1,1,5.299316851637575,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6881346435287342,1.5665304034589465,0.0,1,1,2.865623557793666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.0515563651579543,0.8285518009080813,0.0,1,1,2.6803363729930827,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2.6100698207912507,2.8769487504515148,0.0,1,8,4.5845592227380365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.468777561082536,2.847812143477369,0.0,1,8,5.156350488067876,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1.4231083572227108,0.7419373560826429,0.0,3,11,2.8741294000992386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,2.2813614526458945,2.191653510975606,0.0,3,8,4.7104306829113005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,5.1971701541538105,3.796387682384393,0.0,3,9,6.397396261833137,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.7186603701490615,2.1174596019816216,0.0,3,9,4.7033852307187685,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.296566978453522,1.1151415749853149,0.0,3,9,2.978586106957683,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2.1610215088956024,1.0473190026461232,0.0,3,9,3.348148187389192,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.8609745115525795,0.33647224087868755,0.0,3,8,2.9188512539352938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2.928523564659441,2.2481289353953264,0.0,3,6,4.715816678754136,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.1471001834690178,2.9003221055356794,0.0,0,9,4.084967377305684,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.0202221769605844,2.258633173576066,0.0,0,9,3.3061538581455507,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,3.773680076833671,2.930126492015865,0.0,1,5,4.995589298714725,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.426571045816045,0.824175430418003,0.0,3,4,3.785325335062337,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.0202221769605844,0.9783261102452614,0.0,3,8,3.2669037764268696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,3.011605607691788,2.244955935706487,0.0,1,7,3.7414719006138495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1.66581823865906,2.4680995476355903,0.0,1,7,4.138520909955546,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2.2502385885036236,2.230014420668335,0.0,1,7,3.8220983145946765,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.3164082387692593,2.2375130840367854,0.0,1,7,4.019261753356316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,4.624188173858246,4.287853274875425,0.0,1,7,6.131748071336489,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.4303112625072874,1.3217558399823195,0.0,3,3,3.4995332362839555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.549023035049111,3.1144038235984732,0.0,3,3,5.510238204998323,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.7884205711520866,2.4292177775370787,0.0,3,4,5.122951573230263,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3.292869507610626,2.6376277040614813,0.0,1,5,4.162626095766569,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.0855729391975917,2.479894072820678,0.0,1,5,3.9039908029671935,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.911022923913132,0.7323679143456034,0.0,3,11,3.0056826421764384,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,1.9960599508813288,2.486571967190561,0.0,3,11,4.171922699220774,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1.8656293236996147,2.1306098373152738,0.0,3,11,4.1264890007725645,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1.5706970722215243,0.9820784563389954,0.0,3,11,3.4173987534933796,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.5672543706433686,1.59736534278292,0.0,1,3,3.8569330326609936,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.302585092994046,0.7884573820386862,0.0,1,3,2.9475918702062436,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.8020015940251602,1.3762440348994631,0.0,1,8,2.5922651424106884,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.265921144236847,1.6808278872096152,0.0,1,8,4.3815264981823825,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.7608058223491271,0.576613348230831,0.0,3,2,2.6616571402213416,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4.177459422126505,1.93585978843105,0.0,3,2,4.863835342356261,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1.74745917045659,0.45742483647602694,0.0,3,2,2.517696441847303,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5.191511392791949,4.2629614802475,0.0,1,12,6.07991028919109,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.9763114895870313,2.7985001086706855,0.0,1,7,4.764819982706051,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,5.442331108189838,4.551980354255497,0.0,1,7,6.461327499497522,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5.992364105762653,4.186315822203551,0.0,3,8,6.958410332628015,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,2.221375066530412,0.824175430418003,0.0,1,8,3.1722034422503045,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9282192914310377,1.9530276438787675,0.0,1,8,3.96613230794704,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.7914360355532932,2.482403541878053,0.0,1,8,4.670208593605686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2.969388274715227,3.6560979409386305,0.0,1,8,5.2298243406897775,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5.53717680073896,3.735762996333046,0.0,1,8,6.290531568952143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.423917374782742,3.9427462047058004,0.0,0,9,4.999237269722158,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.551006427687861,1.2237754596713601,0.0,3,2,3.494991284102976,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2.9507349515162145,1.9558605041887325,0.0,1,9,3.744314132130156,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.3225148431198006,2.8775116679270365,0.0,1,1,4.681390194932723,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,2.9444389791664403,0.6830968543395178,0.0,3,12,4.091005648198401,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.351051798896804,2.5022552912468536,0.0,3,12,5.338114812960578,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.360854037105731,0.8796267336525216,0.0,3,10,3.604410251827344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,3.404525184428243,0.49469623311347605,0.0,3,12,5.583345889405656,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4.455973872540388,2.933856829254017,0.0,3,12,5.685754321853199,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.8758219639794134,1.088561962447682,0.0,3,12,3.94661761776477,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.004179067461492,1.6956155736779295,0.0,3,12,4.002411996791791,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1.1314020807274126,1.3217558399823195,0.0,1,1,3.013080930634045,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2.259677584018892,3.0267462864029175,0.0,3,11,5.664972297338738,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.164471795244087,1.4586150116102805,0.0,3,11,3.425239361246081,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,2.820187685125543,2.0451088650667932,0.0,3,11,4.604570030344778,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4.0900018408841605,1.05779029249217,0.0,3,11,4.9721716022727165,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,2.2813614526458945,1.1878434136734213,0.0,1,6,2.9236991034511264,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4.141864049088762,3.865979066926739,0.0,1,6,6.248042874508429,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.1018924590909323,3.3178157865444713,0.0,1,6,5.105824228535743,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.2673523721006745,5.002535870716497,0.0,1,6,6.959550479864251,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,0.8020015940251602,0.0,1,6,2.4655539601645953,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1.8373700138890796,1.2237754596713601,0.0,1,6,3.104586644253541,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1.92278775394263,0.0,3,8,3.9290767719945943,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4.601864710608193,3.2865344733420154,0.0,3,8,6.254463258521139,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5.1885024835109315,3.2880287177307363,0.0,3,11,6.179353893031333,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,3.002707856984976,1.9878743742824085,0.0,1,11,3.7125959583795103,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,3.4262151520783353,2.3636802031197,0.0,3,1,4.5141508210265275,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.4586150116102805,2.330200234051454,0.0,3,1,4.435567419681045,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1.6714733356207285,1.2753627791014508,0.0,3,1,3.8936553511782903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,2.8130106275797595,1.7833911875012582,0.0,3,12,4.542017341726516,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4.064572432708259,2.870169015978216,0.0,3,12,5.103275230508737,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,6.330647427204987,4.595927623101726,0.0,3,12,7.323988858577359,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,6.074057851031498,4.815350065963918,0.0,1,6,6.9167150203536085,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.4832385544766455,3.2252554257675383,0.0,0,6,4.30757247751584,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1.8515994516184646,0.4187103223098387,0.0,3,12,2.7707119789475727,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.9586853620656002,1.118414897264793,0.0,1,8,2.6574584310367695,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.4158531355845128,1.4085449490692117,0.0,1,8,3.0291670643972775,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2.0967901636121877,1.6505798630871513,0.0,1,8,3.4710343436225215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,4.465678245763807,3.5779478720954967,0.0,1,8,5.350720019277486,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.4630017949040526,1.3270749964006392,0.0,1,8,4.056296465525242,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.4630017949040526,1.8609745115525795,0.0,1,8,4.056296465525242,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.9586853620656002,2.6546494431534917,0.0,1,8,4.233816656174011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1.160020934734201,0.2700271390330493,0.0,3,6,1.7578579504376943,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2.214846162027972,0.5877866715248573,0.0,3,8,2.999724291024029,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,3.0855729391975917,2.136530483893201,0.0,3,8,4.521353689939268,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.457878003528144,0.862889957159011,0.0,3,5,3.148024123206139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1.8373700138890796,1.7934247866306157,0.0,2,1,3.7336138292278256,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
